,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,property_id,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,West Seattle Bowl,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103507196819078932997"">West Seattle Bowl</a>'], 'photo_reference': 'AfLeUgOMGf6aqykTCN1kf9jBFiYlntZz47Yl34WeazHXsC6iNQJerVLFdb4a-Fzyumx_MdholNlJxRSO2_7PkBOR-5xTCQu9DUM6iBr2XBkEnpIt1hX43Ok2s-9fFpTS_MmyQZA5-ijWWNUV2ufLgPKlcKh3vJibv8kFTBZAYNKUSF5-9W9-', 'width': 2048}]",ChIJ3Uu9FVBAkFQRcN7l5PP0Hb0,4.6,ChIJ3Uu9FVBAkFQRcN7l5PP0Hb0,GOOGLE,"['bowling_alley', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",927.0,"4505 39th Avenue Southwest, Seattle",47.5625613,-122.3818992,47.5638873802915,-122.3803271697085,47.5611894197085,-122.3830251302915,True,"HJ79+26 Seattle, WA, USA",84VVHJ79+26,,1096736307,
1,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Easy Street Records & Cafe,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107970580441184720414"">Chad White</a>'], 'photo_reference': 'AfLeUgNh8rdNLphMAUeaew5Zzh94x-PCCcPO3gCW67JpLELWYuypeXY3ApgycYM0H1CtcLkL2KfnakEE41Eqxx9AisvfwIQYtXnlUsaqfBw6I8SlGKHfb2gn1ZKH9LuLhLZjsgp-7CDxHWCjoUx3FGwwGeWG7FoMPWQHXpEd6jjVUMlfYUzZ', 'width': 2448}]",ChIJEw2sg_lAkFQR25Oh_sq8qRY,4.7,ChIJEw2sg_lAkFQR25Oh_sq8qRY,GOOGLE,"['cafe', 'electronics_store', 'home_goods_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1960.0,"4559 California Avenue Southwest, Seattle",47.56125489999999,-122.3870152,47.56260783029149,-122.3855561197085,47.55990986970849,-122.3882540802915,True,"HJ67+G5 Seattle, WA, USA",84VVHJ67+G5,2.0,1096736307,
2,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Elliott Bay Brewery & Pub,"[{'height': 3715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103038438328531288506"">Elliott Bay Brewery &amp; Pub</a>'], 'photo_reference': 'AfLeUgNgjLnekHUQyuZhiZj8_LdqC8onxUtGRuyIdd6BU1NefsXzX5p3do0Vu4qF6JwC9yAjPFyk1uPa_8yG5-JMrsEcPYzna7G37cqcSJ4tokSS5xO4Gh1d3Giu1-lhQyOKIvzKSoobxdgkSL1Nl8jL7agrZNlTeKptalOE4fLwea1ol1_u', 'width': 5740}]",ChIJKdCRYvlAkFQR4o1cPE_IfQI,4.5,ChIJKdCRYvlAkFQR4o1cPE_IfQI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",450.0,"4720 California Avenue Southwest, Seattle",47.5603969,-122.3866258,47.5617424302915,-122.3853701697085,47.5590444697085,-122.3880681302915,True,"HJ67+58 Seattle, WA, USA",84VVHJ67+58,2.0,1096736307,
3,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,The Beer Junction,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106661723437016124607"">Duncan McColl</a>'], 'photo_reference': 'AfLeUgMIf0UgB57XQIkrf3XiaK2CItQj6lwBm2_deVvpp16wuFdgUwpMZ0rim_ribNrt953XuHvspBJs2fYEX48-Qf7u07q2fs2TwC-kI8XviFNNKySArkf8RMjE-xYlzIU-rIfXvsvtH3pPxGkn7LZa9kkQpOD6HF1D1aeuQpQm9BPuIXIO', 'width': 2152}]",ChIJCV0bcvlAkFQRTZ-xksRsYA8,4.8,ChIJCV0bcvlAkFQRTZ-xksRsYA8,GOOGLE,"['liquor_store', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",758.0,"4511 California Avenue Southwest, Seattle",47.5625369,-122.3872126,47.5638626302915,-122.3856502697085,47.5611646697085,-122.3883482302915,True,"HJ77+24 Seattle, WA, USA",84VVHJ77+24,,1096736307,
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Talarico's Pizzeria West Seattle,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117953356038475366102"">Talarico&#39;s Pizzeria West Seattle</a>'], 'photo_reference': 'AfLeUgMVW3OpZY7SOQqevXlp2L8eVeEjKMkyRqOlMnes9o9NfheYIeW52Lz-mNTI-qx0NVXLUN1xIuKnlVWmAVbhzzYck3O7rcVvX9PUuZgQJ4p5NM119Z4_7xLWM7a9Tup0Q54p5HHi4_VCp2u3PimuPDiBapjFweRB_wmxvMVRkzIYlykM', 'width': 1800}]",ChIJPdI3Y_lAkFQRM85l0DegluY,4.5,ChIJPdI3Y_lAkFQRM85l0DegluY,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1630.0,"4718 California Avenue Southwest, Seattle",47.56050439999999,-122.3864578,47.56183328029149,-122.3852852697085,47.5591353197085,-122.3879832302915,True,"HJ67+6C Seattle, WA, USA",84VVHJ67+6C,2.0,1096736307,
5,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mashiko,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108048509502345537302"">jason pham</a>'], 'photo_reference': 'AfLeUgP0IRlIzMkZQ4kVUG3m1SksrU0KV5pHrFRcT_3HDdYGtmkECuPNDOsOivlvbaF0fsxrRmiSc6CIpibvlUYHlIOy6vmZMBAG0-fsRSBJ4sYgRBmy9SU86q-RL1LOpogo8sfEhvx8Ehb5wCPzfQPodp11r1RwplChyb6ov0t6srin578g', 'width': 3000}]",ChIJKSsQ2ftAkFQR1nDs0cMK9w0,4.6,ChIJKSsQ2ftAkFQR1nDs0cMK9w0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",711.0,"4725 California Avenue Southwest, Seattle",47.5603687,-122.3869893,47.56168673029151,-122.3855522197085,47.55898876970851,-122.3882501802915,False,"HJ67+46 Seattle, WA, USA",84VVHJ67+46,3.0,1096736307,
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,JaK's Grill,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104111246635874032234"">ZAGAT</a>'], 'photo_reference': 'AfLeUgNrcmmSKs2oHl0IRvZQgMHIVzLHj4wLn22ijx37E4e2D7BI3I9Tseaxx2yTu882gVlzBPkNo0BC39RyVQ_vO_2bA9PMCMFrwym5CiBjF_z1SegZWZ_EvcZZOWUniXwgi_QD1pOagxfwt0YfQH7X0QpwVdhG357Qlz4kXnIqxnZkRx8X', 'width': 2048}]",ChIJMTGknflAkFQRd63WqeziSrA,4.6,ChIJMTGknflAkFQRd63WqeziSrA,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",763.0,"4548 California Avenue Southwest, Seattle",47.5614439,-122.3866065,47.5627778802915,-122.3853519697085,47.56007991970851,-122.3880499302915,True,"HJ67+H9 Seattle, WA, USA",84VVHJ67+H9,3.0,1096736307,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Matador West Seattle,"[{'height': 2228, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100013527152505162161"">Matador West Seattle</a>'], 'photo_reference': 'AfLeUgMG5mEveOJV4xBBERLwMdtMDR3HaPCiwvZWgBCj0te6fv_vbode4qoaHX5mxX-wpOGDS0HFdO_ksuJeSlLy_nI9_-G4ss6ANlSZydc7aHumkk-MKoZaxPrDr2ESszGYxcpBetmyiax1gZcsoFogFfn9pv7KB9B-Q47vU03tmps61Dru', 'width': 3342}]",ChIJQUZ5m_lAkFQR45-5R4xnip8,4.4,ChIJQUZ5m_lAkFQR45-5R4xnip8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1166.0,"4546 California Avenue Southwest, Seattle",47.56147540000001,-122.3864491,47.56282863029151,-122.3852729197085,47.56013066970851,-122.3879708802915,True,"HJ67+HC Seattle, WA, USA",84VVHJ67+HC,2.0,1096736307,
8,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Maharaja Cuisine of India,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102865091103472749569"">Jigar Jhaveri</a>'], 'photo_reference': 'AfLeUgNcwSfjlFNQii5QbL9dxc9ALsb-LMROO-khb0_ENGx0ePnhgerpbzT-xtCNb2O57_E-ADb52lz529BhM0gyxOSro8SSU01-zFr1xN-l2UzVgN8Ee0m1ZPQQKK5aS1L45DF2fTonXq5LjinmdPalurTArIaMMC-HcTUINzcHHTkzkKrW', 'width': 2560}]",ChIJI6q_m_lAkFQRKu9rIijEZMI,4.1,ChIJI6q_m_lAkFQRKu9rIijEZMI,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",906.0,"4542 California Avenue Southwest, Seattle",47.56159599999999,-122.386359,47.5629575802915,-122.3852272697085,47.5602596197085,-122.3879252302915,True,"HJ67+JF Seattle, WA, USA",84VVHJ67+JF,2.0,1096736307,
9,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Azuma Sushi,"[{'height': 4048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110000545749015365860"">Peter Schulte</a>'], 'photo_reference': 'AfLeUgOU2iphxAxHqPRkAqKBWlSJV-P24J7-8iosnIF2ATGmgpU3tBti5g0HAAtrZpuSVeqEliqgHUVcJ8NiWbTZ1GYHLEpafphb87xazf1vEyNTuJi1b2QLUvsZnnvFG_lWtQusoXs3mxsFYHVDDM4WtSEPPjFnjCLaj9TsVU8RX9hxaej5', 'width': 3036}]",ChIJPcQxl_lAkFQRpIcQeGAEhew,4.4,ChIJPcQxl_lAkFQRpIcQeGAEhew,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",300.0,"4533 California Avenue Southwest, Seattle",47.56195429999999,-122.386959,47.56331693029149,-122.3855256197085,47.5606189697085,-122.3882235802915,True,"HJ67+Q6 Seattle, WA, USA",84VVHJ67+Q6,2.0,1096736307,
