ID,Address,AddressLine1,City,State,ZipCode,PropertyType,Bathrooms,Bedrooms,Price,SquareFeet,Latitude,Longitude
"100-6th-Ave-S,-Seattle,-WA-98104","100 6th Ave S, Seattle, WA 98104",100 6th Ave S,Seattle,WA,98104,Apartment,1,0,1095,,47.60145,-122.32608
"100-Denny-Way,-Seattle,-WA-98109","100 Denny Way, Seattle, WA 98109",100 Denny Way,Seattle,WA,98109,Apartment,1,1,1950,589,47.619021,-122.355075
"100-E-Boston-St,-Seattle,-WA-98102","100 E Boston St, Seattle, WA 98102",100 E Boston St,Seattle,WA,98102,Apartment,1,1,1625,,47.638412,-122.326767
"100-Taylor-Ave-N,-Seattle,-WA-98109","100 Taylor Ave N, Seattle, WA 98109",100 Taylor Ave N,Seattle,WA,98109,Apartment,1,,2035,,47.619476,-122.3454
"1000-8th-Ave,-Seattle,-WA-98104","1000 8th Ave, Seattle, WA 98104",1000 8th Ave,Seattle,WA,98104,Apartment,1,,1766,,47.608533,-122.328242
"1000-Minor-Ave,-Seattle,-WA-98104","1000 Minor Ave, Seattle, WA 98104",1000 Minor Ave,Seattle,WA,98104,Apartment,1,2,1790,638,47.61022,-122.323973
"1001-Taylor-Ave-N,-Seattle,-WA-98109","1001 Taylor Ave N, Seattle, WA 98109",1001 Taylor Ave N,Seattle,WA,98109,Apartment,2,2,2800,,47.628297,-122.34654
"10014-5th-Ave-NE,-Seattle,-WA-98125","10014 5th Ave NE, Seattle, WA 98125",10014 5th Ave NE,Seattle,WA,98125,Apartment,1,2,2045,,47.701975,-122.322704
"1005-E-Roy-St,-Seattle,-WA-98102","1005 E Roy St, Seattle, WA 98102",1005 E Roy St,Seattle,WA,98102,Apartment,1,1,2595,,47.625176,-122.319388
"1006-15th-Ave-E,-Seattle,-WA-98112","1006 15th Ave E, Seattle, WA 98112",1006 15th Ave E,Seattle,WA,98112,Apartment,1,1,1625,,47.627865,-122.312202
"101-6th-Ave-S,-Seattle,-WA-98104","101 6th Ave S, Seattle, WA 98104",101 6th Ave S,Seattle,WA,98104,Apartment,1,2,1750,876,47.601379,-122.326637
"101-Nw-85th-St,-Seattle,-WA-98117","101 Nw 85th St, Seattle, WA 98117",101 Nw 85th St,Seattle,WA,98117,Apartment,1,0,1342,,47.690395,-122.358422
"10102-8th-Ave-S,-Seattle,-WA-98168","10102 8th Ave S, Seattle, WA 98168",10102 8th Ave S,Seattle,WA,98168,Apartment,,,1835,,47.512943,-122.322169
"1019-E-Pike-St,-Seattle,-WA-98122","1019 E Pike St, Seattle, WA 98122",1019 E Pike St,Seattle,WA,98122,Apartment,1,1,1397,390,47.613874,-122.318412
"1020-Ne-63rd-St,-Seattle,-WA-98115","1020 Ne 63rd St, Seattle, WA 98115",1020 Ne 63rd St,Seattle,WA,98115,Apartment,1,1,1883,,47.674393,-122.31644
"10215-Greenwood-Ave-N,-Seattle,-WA-98133","10215 Greenwood Ave N, Seattle, WA 98133",10215 Greenwood Ave N,Seattle,WA,98133,Apartment,1,,1665,,47.70339,-122.35578
"10300-Des-Moines-Memorial-Dr-S,-Seattle,-WA-98168","10300 Des Moines Memorial Dr S, Seattle, WA 98168",10300 Des Moines Memorial Dr S,Seattle,WA,98168,Apartment,1,2,1595,,47.511238,-122.306514
"10306-Meridian-Ave-N,-Seattle,-WA-98133","10306 Meridian Ave N, Seattle, WA 98133",10306 Meridian Ave N,Seattle,WA,98133,Apartment,,,1639,,47.703461,-122.333156
